PontoWeb				DESKTOP	
Pessoas	Basic	PRO	Ultimate	Pessoas	Valor
10	99,90	119,90	139,90	01 a 30 pessoas	87,64
20	115,80	148,20	206,40	31 a 50 pessoas	166,85
30	173,70	222,30	309,60	51 a 100 pessoas	294,57
40	231,60	296,40	412,80	101 a 200 pessoas	495,64
50	289,50	370,50	516,00	201 a 400 pessoas	813,47
60	320,40	414,00	572,40	401 a 600 pessoas	1295,66
70	373,80	483,00	667,80	601 a 800 pessoas	1694,94
80	427,20	552,00	763,20	801 a 1000 pessoas	2045,54
90	480,60	621,00	858,60	Acima de 1.000 pessoas	
100	534,00	690,00	954,00		
110	544,50	702,90	966,90		
120	594,00	766,80	1054,80		
130	643,50	830,70	1142,70		
140	693,00	894,60	1230,60		
150	742,50	958,50	1318,50		
160	792,00	1022,40	1406,40		
170	841,50	1086,30	1494,30		
180	891,00	1150,20	1582,20		
190	940,50	1214,10	1670,10		
200	990,00	1278,00	1758,00		
210	970,20	1247,40	1745,10		
220	1016,40	1306,80	1828,20		
230	1062,60	1366,20	1911,30		
240	1108,80	1425,60	1994,40		
250	1155,00	1485,00	2077,50		
260	1201,20	1544,40	2160,60		
270	1247,40	1603,80	2243,70		
280	1293,60	1663,20	2326,80		
290	1339,80	1722,60	2409,90		
300	1386,00	1782,00	2493,00		
310	1432,20	1841,40	2576,10		
320	1478,40	1900,80	2659,20		
330	1524,60	1960,20	2742,30		
340	1570,80	2019,60	2825,40		
350	1617,00	2079,00	2908,50		
360	1663,20	2138,40	2991,60		
370	1709,40	2197,80	3074,70		
380	1755,60	2257,20	3157,80		
390	1801,80	2316,60	3240,90		
400	1848,00	2376,00	3324,00		
410	1894,20	2435,40	3407,10		
420	1940,40	2494,80	3490,20		
430	1986,60	2554,20	3573,30		
440	2032,80	2613,60	3656,40		
450	2079,00	2673,00	3739,50		
460	2125,20	2732,40	3822,60		
470	2171,40	2791,80	3905,70		
480	2217,60	2851,20	3988,80		
490	2263,80	2910,60	4071,90		
500	2310,00	2970,00	4155,00		
510	2356,20	3029,40	4238,10		
520	2402,40	3088,80	4321,20		
530	2448,60	3148,20	4404,30		
540	2494,80	3207,60	4487,40		
550	2541,00	3267,00	4570,50		
560	2587,20	3326,40	4653,60		
570	2633,40	3385,80	4736,70		
580	2679,60	3445,20	4819,80		
590	2725,80	3504,60	4902,90		
600	2772,00	3564,00	4986,00		
610	2818,20	3623,40	5069,10		
620	2864,40	3682,80	5152,20		
630	2910,60	3742,20	5235,30		
640	2956,80	3801,60	5318,40		
650	3003,00	3861,00	5401,50		
660	3049,20	3920,40	5484,60		
670	3095,40	3979,80	5567,70		
680	3141,60	4039,20	5650,80		
690	3187,80	4098,60	5733,90		
700	3234,00	4158,00	5817,00		
710	3280,20	4217,40	5900,10		
720	3326,40	4276,80	5983,20		
730	3372,60	4336,20	6066,30		
740	3418,80	4395,60	6149,40		
750	3465,00	4455,00	6232,50		
760	3511,20	4514,40	6315,60		
770	3557,40	4573,80	6398,70		
780	3603,60	4633,20	6481,80		
790	3649,80	4692,60	6564,90		
800	3696,00	4752,00	6648,00		
